,"Массовая доля, %","Температура испытания | ASTM D445 Daimler Oxidation Test (DOT), °C","Время испытания | - Daimler Oxidation Test (DOT), ч","Количество биотоплива | - Daimler Oxidation Test (DOT), % масс","Дозировка катализатора, категория",Деаэрация | ASTM D3427,Деэм.вода | ASTM D1401,Деэм.время | ASTM D1401,Деэм.масло | ASTM D1401,Деэм.эмульсия | ASTM D1401,"Динамическая вязкость CCS -15°C, ASTM D5293","Динамическая вязкость CCS -20°C, ASTM D5293","Динамическая вязкость CCS -25°C, ASTM D5293","Динамическая вязкость CCS -30°C, ASTM D5293","Динамическая вязкость CCS -35°C, ASTM D5293","Индекс вязкости, ГОСТ 25371","Испаряемость по NOACK, ASTM D5800","Кинематическая вязкость, при -30⁰С | ASTM D445","Кинематическая вязкость, при 100°C, ASTM D445","Кинематическая вязкость, при 40°C, ASTM D445","Кислотное число, ГОСТ 11362",Массовая доля кальция | ASTM D6481,"Массовая доля кальция, ASTM D6481",Массовая доля серы | ASTM D6481,"Массовая доля серы, ASTM D6481","Массовая доля сульфатной золы, ГОСТ 12417",Массовая доля фосфора | ASTM D6481,"Массовая доля фосфора, ASTM D6481",Массовая доля цинка | ASTM D6481,"Массовая доля цинка, ASTM D6481",Общее содержание азота | ASTM D3228,Определение содержания воды методом Карла Фишера | ASTM D 6304,"Плотность при 15°С, ASTM D4052","Плотность при 20°С, ASTM D4052",Последовательность 1 | ASTM D892,Последовательность 2 | ASTM D892,Последовательность 3 | ASTM D892,"Температура застывания, ГОСТ 20287, метод Б",Температура проведения теста | -,Цвет | ASTM D1500,Цвет Сейболт | -,"Щелочное число, ASTM D2896","Щелочное число, ГОСТ 11362"
Массовая доля цинка | ASTM D6481,0.018282384950932283,0.023286156765133112,-0.017083584714337387,-0.0338830988077106,-0.013139729725801056,-0.002674244817458674,-0.013482257345591253,-0.00995888811758957,-0.013483706129769455,-0.0029575665197258544,-0.012034359997623723,-0.012669170961969367,-0.012154568917659175,-0.013360988678464912,-0.007581712585987707,-0.020009222303444065,-0.010760679807724584,-0.0008901188062402859,-0.020043116450957587,-0.00727678374619919,-0.006417459045861895,0.0006233207496434243,-0.014299076257978539,0.9980623692742681,-0.009607989199990674,-0.002182319551322114,0.9991404744598357,-0.012209944035043238,1.0,-0.011757526889374651,-0.0013174922443967157,-0.002815519912860133,-0.012160646689742122,-0.012160566460688953,-0.003202275207749253,-0.0028194151494759473,-0.0030244210987219805,0.01831846617744956,-0.0026742448174586855,-0.0031016790050997474,-0.0012590467768171236,-0.01588363869354111,-0.0047987483701823885
"Массовая доля цинка, ASTM D6481",0.15279828493642206,-0.0034686292075099463,0.0006612586748059061,0.0012366950187149962,-0.030344966590562298,-0.014410343739507815,-0.07266648109681793,-0.053676467298844184,-0.07267438345688979,-0.015940769255631253,-0.0648643311565194,-0.068286615683006,-0.06551262465058633,-0.07201549490675813,-0.04086679933032802,-0.1078482986630993,-0.058000733884035746,-0.004798017110952946,-0.10293076087036397,-0.03922382998489051,-0.034592099498426856,-0.004815640280176419,-0.07455244852173033,-0.011748974352738068,0.7680032974009156,-0.011175143616259584,-0.011761159408692653,0.9907498207162331,-0.011757526889374651,1.0,-0.00710169281656183,-0.015176527698803541,-0.06554860582851578,-0.06554817387418121,-0.0172607993065693,-0.015197196193058343,-0.016302083074120937,0.0987356164005747,-0.01441034373950782,-0.016719014175209723,-0.006786653575127339,-0.0880048825146024,0.04451712714181882
Общее содержание азота | ASTM D3228,-0.02241987927264644,0.014065128983351416,-0.010318698140216504,-0.020465814084000125,-0.007936560561015086,-0.0016152772082568556,-0.008143451513493879,-0.006015292575647275,-0.008144326597198855,-0.0017864070484603348,-0.007268903465088238,-0.007652337201433097,-0.007341511151375898,-0.008070203726752018,-0.004579448919466529,-0.012085819716540318,-0.006499584752036539,-0.000537642855648145,0.023693802381924686,-0.004395268098834451,0.037531456329718604,-0.0005396176237258264,-0.00863682031946062,-0.001316533888035327,-0.005803345254931153,-0.001318148214916914,-0.0013178992871425309,-0.007374958412610593,-0.0013174922443967157,-0.00710169281656183,1.0,-0.0017006091270873604,-0.007345182201482648,-0.007345133742134383,-0.0019342141466908928,-0.0017029618985633368,-0.0018267880476175702,0.011064581938603922,-0.0016152772082568578,0.22156475708886753,-0.000760479949122456,0.02697154423538862,0.008921950947125855
Определение содержания воды методом Карла Фишера | ASTM D 6304,0.04245607191303042,-0.002343495304473626,-0.002383903102675463,-0.004721847908874374,-0.016960664773697124,-0.003451895192535867,-0.017402796861359853,-0.012854858235745979,-0.017404666941132293,-0.0038176047250410346,-0.015533861802719968,-0.01635327104367208,-0.015689026576887758,-0.017246264173579846,-0.009786417853706453,-0.02582775437189648,-0.013889804947626474,-0.0011489586921837938,-0.019797687529345024,-0.009392817989827244,-0.0082836080990362,-0.0011531788300021648,0.09174597768469293,-0.0028134718769566255,-0.005622079482683854,-0.0028169217412729497,-0.002816389775252959,-0.01576050436390125,-0.002815519912860133,-0.015176527698803541,-0.0017006091270873604,1.0,-0.01569687171959775,-0.01569676816053649,-0.004133472867794844,-0.003639279970443173,-0.003903900115174761,0.023645339020478877,-0.003451895192535877,-0.004003624042419474,-0.0016251681550243792,0.07640836403776644,0.5362829591232064
"Плотность при 15°С, ASTM D4052",0.20210486508397302,-0.045210809061504625,0.05028298779669899,0.08104300905276547,0.028332653918595713,0.21309392806585303,-0.0751652521005852,-0.0555220329068209,-0.07517332925155532,-0.016488799120285426,0.028203781567274953,0.02210118762412809,0.023048036302556127,-0.02064543498298947,0.019727754286914347,0.1854261365555664,-0.05999212073976526,-0.004962522428961208,0.02040482491146556,-0.029736641786714545,-0.03577812785075834,-0.004980749828013452,-0.07971663882203905,-0.012151800919937162,-0.053561312207846976,-0.01216670139387335,-0.01216440375399848,-0.06807097634474658,-0.012160646689742122,-0.06554860582851578,-0.007345182201482648,-0.01569687171959775,1.0,0.9999999582250407,-0.01785308032001321,-0.015718588145468757,-0.01686152166633332,-0.1250716191249706,0.21309392806585287,-0.017292244049150432,-0.007019341491566742,-0.09788510107215258,-0.026753615642115265
"Плотность при 20°С, ASTM D4052",0.20207723199822353,-0.04518190701976492,0.05026483088876639,0.08101677334482213,0.028323271682100002,0.21298542716358146,-0.07516475620286216,-0.0555216666039223,-0.07517283330054382,-0.01648869033653613,0.028197516799692752,0.02209811649165023,0.023045128439467266,-0.020650350818837676,0.019730743677430163,0.185430819642943,-0.0599917249457612,-0.0049624896890514,0.020473731812231336,-0.029736970180491054,-0.035777891806952886,-0.004980716967849593,-0.07971611406159874,-0.012151720749243406,-0.05356096091482804,-0.012166621124874683,-0.012164323500158374,-0.06807052770744779,-0.012160566460688953,-0.06554817387418121,-0.007345133742134383,-0.01569676816053649,0.9999999582250407,1.0,-0.017852962535509925,-0.01571848444313486,-0.016861410423571893,-0.1250601782049949,0.21298542716358168,-0.017292129964726927,-0.007019295181930751,-0.09788445528174534,-0.026753439136925447
Последовательность 1 | ASTM D892,0.009857914832700687,0.0341864736044854,-0.025080459768318696,-0.04974387464239619,-0.019290474936326414,-0.003926066494616776,0.23302536041572905,0.1442805522861198,0.22554313074668844,-0.004342011899168767,0.13888907006618462,0.12449435610046883,0.1389307610708378,0.1364289539005402,0.2593895260941992,0.13215086900130618,0.07446565943006865,-0.0013067859750885587,-0.031201595227818162,-0.0023080628518903036,-0.009421490050591761,-0.0013115858142398761,-0.020991791231986513,-0.0031999458423740057,-0.01330976735227366,-0.003203869599020079,-0.003203264559222818,-0.017924286285684262,-0.003202275207749253,-0.0172607993065693,-0.0019342141466908928,-0.004133472867794844,-0.01785308032001321,-0.017852962535509925,1.0,0.9921440055843356,0.9922332955924069,-0.11714973338281229,-0.003926066494616765,-0.004553583852711918,-0.001848410187932734,-0.025776181182518346,-0.007045056260097224
Последовательность 2 | ASTM D892,0.005663619489148045,0.0300991811554483,-0.02208187105702267,-0.043796558590908495,-0.016984129641465708,-0.0034566708463987872,0.21411870314126216,0.11651151121628665,0.20442827589925186,-0.003822886333472091,0.0796396224035042,0.06582088523594012,0.0759709629687061,0.10724993936372684,0.26271906337246054,0.11717998955320845,0.07199491150676872,-0.0011505482621766833,-0.02769593413669487,-0.0031446687939339552,-0.008295068367326654,-0.0011547742385029883,-0.018482168299290478,-0.002817364280140375,-0.011860552283886718,-0.002820818917300859,-0.002820286215312498,-0.015781407253878724,-0.0028194151494759473,-0.015197196193058343,-0.0017029618985633368,-0.003639279970443173,-0.015718588145468757,-0.01571848444313486,0.9921440055843356,1.0,0.9965874708027717,-0.10291474306264264,-0.0034566708463987794,-0.004009163006251606,-0.0016274165548582284,-0.022694412880493117,-0.0062027580579463275
Последовательность 3 | ASTM D892,0.009035332991242814,0.03228775959358574,-0.023687493037884574,-0.04698110382161265,-0.018219083500571404,-0.003708013075381556,0.22931141448479953,0.12778720051190862,0.21965329973072878,-0.004100856905418142,0.08995737156688623,0.07535177794512062,0.08620084259074366,0.10702974626542605,0.2611518359679204,0.12701950887352045,0.07565460464881373,-0.001234207186505281,-0.029693577902798987,-0.0032883980567526634,-0.008898221246398242,-0.0012387404429738645,-0.01982579748310877,-0.0030222211061134486,-0.012723608597861591,-0.003025926937629088,-0.0030253555016937963,-0.01692879452081256,-0.0030244210987219805,-0.016302083074120937,-0.0018267880476175702,-0.003903900115174761,-0.01686152166633332,-0.016861410423571893,0.9922332955924069,0.9965874708027717,1.0,-0.11283646894222304,-0.0037080130753815617,-0.0043006781695759675,-0.001745749633869121,-0.024344574140359974,-0.006653774398639921
"Температура застывания, ГОСТ 20287, метод Б",-0.16485857315634683,-0.13347933892635486,0.08368030938175397,0.20207707153890306,0.027110682915964905,-0.14431138738018257,-0.5089774491606461,-0.33795351115040523,-0.5071944484321959,-0.10594550825980444,-0.4195197495363417,-0.37665507745470744,-0.353795822625643,-0.32398869858821727,-0.19497340758712964,-0.7906250066605227,-0.2927534043976548,-0.1213060756802776,0.18078007865938273,0.024144708569000826,0.05389519502111952,0.007502865562220901,0.12006925745849138,0.018305141151312494,0.07926367339547788,0.018327586818454228,0.01832412571647432,0.10252096152818807,0.01831846617744956,0.0987356164005747,0.011064581938603922,0.023645339020478877,-0.1250716191249706,-0.1250601782049949,-0.11714973338281229,-0.10291474306264264,-0.11283646894222304,1.0,-0.14431138738018268,0.026048564342698227,0.010573744388914572,0.14745144390873502,0.04030091620686378
Температура проведения теста | -,0.024665570604260847,-0.003938945048256671,0.0184959455900663,-0.0024222445960606076,0.05710144293775358,1.0,-0.016529572070581137,-0.012209836577283577,-0.016531348314860844,-0.0036260477521097793,0.07827730874092449,0.058286515115667965,0.05459641657446567,0.06324481545753752,-0.009295362148646177,0.1443443145208699,-0.013192852491307343,-0.0010913070847100971,-0.025752157910569746,-0.0016476112260140436,-0.007867959280814699,-0.0010953154675448964,-0.01752010018723102,-0.002672299546400252,-0.011760195123074624,-0.002675576305952455,-0.00267507103253366,-0.014965409575781874,-0.0026742448174586855,-0.01441034373950782,-0.0016152772082568578,-0.003451895192535877,0.21309392806585287,0.21298542716358168,-0.003926066494616765,-0.0034566708463987794,-0.0037080130753815617,-0.14431138738018268,1.0,-0.0038027331284675304,-0.0015436216580183525,-0.021525888460309717,-0.005883381024428517
Цвет | ASTM D1500,0.00046083999620694576,-2.715513668772839e-05,-0.004176790350611425,-0.004077291443000257,-0.018684484382733665,-0.0038027331284675387,-0.01917155315021809,-0.014161378763911363,-0.019173613298023095,-0.004205612033267685,-0.017112666403652926,-0.018015357387167936,-0.017283601554979416,-0.01899911105556937,-0.010781073383046819,-0.028452792366439338,-0.01530151365444238,-0.0012657346293293143,0.15839694671190802,-0.010347469476134926,0.11484456907662247,-0.0012703836864395406,-0.02033305650915364,-0.003099422814356943,-0.01366240614555382,-0.0031032233101983895,-0.0031026372771079704,-0.01736234408146546,-0.0031016790050997474,-0.016719014175209723,0.22156475708886753,-0.004003624042419474,-0.017292244049150432,-0.017292129964726927,-0.004553583852711918,-0.004009163006251606,-0.0043006781695759675,0.026048564342698227,-0.0038027331284675304,1.0,-0.0017903442711137355,-0.0006139502466366893,0.08518447769434197
Цвет Сейболт | -,-0.014747744028407317,0.013441183724095019,-0.009860948851609635,-0.019557927089884283,-0.007584485628555459,-0.0015436216580183492,-0.007782198661006825,-0.005748447295375653,-0.007783034924994632,-0.0017071599821654342,-0.0069464465674368165,-0.007312870743306668,-0.0070158332934546815,0.004011755624013215,-0.004376299311191127,0.06456020539138588,-0.006211255715170094,-0.0005137924017097486,-0.012551825904360912,-0.002303490767095866,-0.003704271466832955,-0.0005156795668097631,-0.008253681060676721,-0.001258130934243493,-0.005545039165779348,-0.001259673647732425,-0.0012594357626797184,-0.007047796795805461,-0.0012590467768171236,-0.006786653575127339,-0.000760479949122456,-0.0016251681550243792,-0.007019341491566742,-0.007019295181930751,-0.001848410187932734,-0.0016274165548582284,-0.001745749633869121,0.010573744388914572,-0.0015436216580183525,-0.0017903442711137355,1.0,-0.01013448742880346,-0.0027699228833630222
"Щелочное число, ASTM D2896",-0.054173238387575186,0.018888649518745155,-0.021514177629239628,-0.03446369596531283,-0.03841300436503471,-0.021525888460309752,-0.108523186029834,-0.08016241198577097,-0.10853484777688854,-0.023806439336419835,-0.09686857736766025,-0.10197838254431221,-0.09783617905757472,-0.10754705408213457,-0.061027733287032405,-0.16106090387445593,-0.08661630071636629,-0.007164863147331661,0.03399511206126635,-0.05857325935451633,0.4798198013053341,0.021428755239767987,0.9363734224764576,-0.015894650517449548,-0.05950946672341017,-0.013586618835178614,-0.01587129295928112,-0.09170099500479938,-0.01588363869354111,-0.0880048825146024,0.02697154423538862,0.07640836403776644,-0.09788510107215258,-0.09788445528174534,-0.025776181182518346,-0.022694412880493117,-0.024344574140359974,0.14745144390873502,-0.021525888460309717,-0.0006139502466366893,-0.01013448742880346,1.0,0.11193190312685314
"Щелочное число, ГОСТ 11362",0.050082600510218414,0.009632045434109759,-0.009588694317660459,-0.016149091238095666,-0.022822478235373023,-0.0058833810244285105,-0.029661180051904025,-0.021909711853199763,-0.029664367400080677,-0.006506693264222436,-0.02647578291595768,-0.027872377108586432,-0.026740244447110904,-0.02939438706033846,-0.016679887970563426,-0.0440206065073447,-0.023673666291659814,-0.0019582754951723786,0.010740076699841781,-0.016009039685432477,-0.004730139265117418,-0.00196546826244259,0.12458498212492537,-0.004795257715078476,0.005606743959069577,0.008812443522183125,-0.0048002309563011025,0.040207776241407554,-0.0047987483701823885,0.04451712714181882,0.008921950947125855,0.5362829591232064,-0.026753615642115265,-0.026753439136925447,-0.007045056260097224,-0.0062027580579463275,-0.006653774398639921,0.04030091620686378,-0.005883381024428517,0.08518447769434197,-0.0027699228833630222,0.11193190312685314,1.0
