scenario_id,Компонент,Наименование партии,"Массовая доля, %",% масс. (Mo),CAS,COC (°C),SMILES для наиболее вероятной (средней) молекулы сульфокислоты,"Активный Азот / Кислород, % масс. (N или O)",Анилиновая точка,Атомное отношение P:Zn,Группа по API,Деаэрация | ASTM D3427,Деэм.вода | ASTM D1401,Деэм.время | ASTM D1401,Деэм.масло | ASTM D1401,Деэм.эмульсия | ASTM D1401,"Динамическая вязкость CCS -15°C, ASTM D5293","Динамическая вязкость CCS -20°C, ASTM D5293","Динамическая вязкость CCS -25°C, ASTM D5293","Динамическая вязкость CCS -30°C, ASTM D5293","Динамическая вязкость CCS -35°C, ASTM D5293","Дипольный момент, Д",Длина углеродной цепи,"Индекс вязкости, ГОСТ 25371",Индекс полидисперсности,"Индекс стабильности, %","Испаряемость по NOACK, ASTM D5800",Категория,Кинематическая вязкость,"Кинематическая вязкость, при -30⁰С | ASTM D445","Кинематическая вязкость, при 100°C, ASTM D445","Кинематическая вязкость, при 40°C, ASTM D445","Кислотное число, ГОСТ 11362",Класс полиамина,Класс субстрата,"Масса гидрофобного хвоста, г/моль",Массовая доля кальция | ASTM D6481,"Массовая доля кальция, ASTM D6481",Массовая доля серы | ASTM D6481,"Массовая доля серы, ASTM D6481","Массовая доля сульфатной золы, ГОСТ 12417",Массовая доля фосфора | ASTM D6481,"Массовая доля фосфора, ASTM D6481",Массовая доля цинка | ASTM D6481,"Массовая доля цинка, ASTM D6481",Модификация,Номер CAS,Номер CAS / SMILES,Общее содержание азота | ASTM D3228,Определение содержания воды методом Карла Фишера | ASTM D 6304,Отношение S:Mo,Отношение Мыло/Основание,"Плотность при 15°С, ASTM D4052","Плотность при 20°С, ASTM D4052",Последовательность 1 | ASTM D892,Последовательность 2 | ASTM D892,Последовательность 3 | ASTM D892,"Потенциал ионизации,эВ",Происхождение,Разветвленность радикала / радикалов,"Размер мицелл, нм","Содержание MgCO3, CaCO3, % масс.",Содержание Азота,Содержание Бора,Содержание ароматики,"Содержание воды, % масс.","Содержание других элементов (например, бора)",Содержание масла,"Содержание масла, % масс.","Содержание металла (Ca/Mg), % масс.","Содержание мыла, % масс.",Содержание насыщ. у/в,Содержание полимера,"Содержание серы, % масс.","Содержание серы, мг/кг",Соотношение мономеров (EO:PO),Средневесовая масса,Степень полисульфидности,"Стерический фактор, Å3",Структура УВ-радикала,"Температура застывания, ГОСТ 20287, метод Б","Температура плавления, °C",Температура проведения теста | -,"Температура разложения, °C",Тип АО,Тип лиганда,Тип полимера,Тип спиртового радикала,Тип сукцинимида,"Химический потенциал, Дж/моль",Цвет | ASTM D1500,Цвет Сейболт | -,"Щелочное число, ASTM D2896","Щелочное число, ГОСТ 11362","Энергия ВЗМО, эВ","Энергия НСМО, эВ","Энергия диссоциации связи Х-Н, ккал/моль"
train_47,Депрессорная_присадка_1,9518.22,38.014,,,,,,,,,,,,,,,,,,,,,,,,,,,,213.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
train_47,Загуститель_1,"01007.22 (8,2%)",10.921,,,,,,,,,,,,,,,,,,,,,,,,,,,,339.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
train_47,Противоизносная_присадка_15,KT2022021001,47.162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
train_48,Базовое_масло_10,01667.22,58.829,,,,,,,,,,40,5,40,0,496,808,1348,2348,4359,,,113,,,13.4,,,,4.55,22.88,,,,,,0.0012,,0.0001,,,0.0001,,0.0001,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,-24,,,,,,,,,,,,,,,,
train_48,Базовое_масло_13,0934.22,2.109,,,,,,,,,,40,5,40,0,1181,2011,4345,6680,,,,116,,,4.6,,,,6.39,38.55,,,,,,0.00071,,0.00082,,,0.00016,,0.00004,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,-16,,,,,,,,,,,,,,,,
train_48,Базовое_масло_2,01767.22,77.069,,,,,,,,,,35,30,40,5,1150,2199,4564,10045,,,,96,,,15.3,,,,5.31,32.06,,,,,,0.00056,,0.02433,,,0.00003,,0.00005,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,-17,,,,,,,,,,,,,,,,
train_48,Базовое_масло_3,01600.22,68.008,,,,,,,,,,,,,,311,581,999,1737,3224,,,130,,,13.1,,,,4.611,21.84,,,,,,0.00021,,0.00025,,,0.00003,,0.00005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-18,,,,,,,,,,,,,,,,
train_48,Депрессорная_присадка_1,9518.22,38.014,,,,,,,,,,,,,,,,,,,,,,,,,,,,213.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
train_48,Загуститель_1,"01007.22 (8,2%)",10.921,,,,,,,,,,,,,,,,,,,,,,,,,,,,339.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
train_48,Противоизносная_присадка_14,COMP-2022-0042-M,11.768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
train_49,Базовое_масло_10,01667.22,46.745,,,,,,,,,,40,5,40,0,496,808,1348,2348,4359,,,113,,,13.4,,,,4.55,22.88,,,,,,0.0012,,0.0001,,,0.0001,,0.0001,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,-24,,,,,,,,,,,,,,,,
train_49,Базовое_масло_13,0934.22,2.109,,,,,,,,,,40,5,40,0,1181,2011,4345,6680,,,,116,,,4.6,,,,6.39,38.55,,,,,,0.00071,,0.00082,,,0.00016,,0.00004,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,-16,,,,,,,,,,,,,,,,
train_49,Базовое_масло_2,01767.22,77.069,,,,,,,,,,35,30,40,5,1150,2199,4564,10045,,,,96,,,15.3,,,,5.31,32.06,,,,,,0.00056,,0.02433,,,0.00003,,0.00005,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,-17,,,,,,,,,,,,,,,,
train_49,Базовое_масло_3,01600.22,68.008,,,,,,,,,,,,,,311,581,999,1737,3224,,,130,,,13.1,,,,4.611,21.84,,,,,,0.00021,,0.00025,,,0.00003,,0.00005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-18,,,,,,,,,,,,,,,,
train_49,Депрессорная_присадка_1,9518.22,38.014,,,,,,,,,,,,,,,,,,,,,,,,,,,,213.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
train_49,Загуститель_1,"01007.22 (8,2%)",10.921,,,,,,,,,,,,,,,,,,,,,,,,,,,,339.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
train_49,Противоизносная_присадка_13,образец,7.659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
train_50,Антиоксидант_7,п.EQ2023082507,17.074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
train_50,Антиоксидант_8,COMP-2024-0009-M,56.357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
train_50,Антипенная_присадка_1,12 от 13.05.2024,3.991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
train_50,Базовое_масло_1,0318.25,39.272,,,,,,,,,,,,,,,784,1294,2234,,,,,,,,,,,4.44,21.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
train_50,Базовое_масло_1,0318.25,17.352,,,,,,,,,,,,,,,784,1294,2234,,,,,,,,,,,4.44,21.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
train_50,Базовое_масло_14,Р-10 от 13.05.2024,84.281,,,,,,,,,,,,,,,4,2,4,,,,,,,,,,,1.02,5.01,,,,,,,,,,,,,,,,,,,,,801.4,798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
train_50,Базовое_масло_7,095.25,91.951,,,,,,,,,,,,,,5600,11925,20000,,,,,,,,,,,,9.13,76.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
train_50,Депрессорная_присадка_1,0862.24,26.931,,,,,,,,,,,,,,,,,,,,,,,,,,,,315.1,1828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
train_50,Детергент_1,0269.25,13.741,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.33,,,,,,,15.13,,1.598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,344.1,,,,
train_50,Детергент_9,0241.25,80.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.96,,,,,,,6.77,,0.165,,,,,,,,,,28438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171.7,161.2,,,
train_50,Дисперсант_4,08.07.24,3.249,,,,,,,,,,,,,,,,,,,,,,,,,,,,1278.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
train_50,Загуститель_1,"0396.25 9,8% 2 гр",51.493,,,,,,,,,,,,,,,,,,,,,,,,,,,,493.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
train_50,Противоизносная_присадка_11,0242.25,31.092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.42,,,8.6,,9.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
train_51,Антиоксидант_7,п.EQ2023082507,39.573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
train_51,Антиоксидант_8,COMP-2024-0009-M,62.603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
train_51,Антипенная_присадка_1,12 от 13.05.2024,3.991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
train_51,Базовое_масло_1,0318.25,39.272,,,,,,,,,,,,,,,784,1294,2234,,,,,,,,,,,4.44,21.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
train_51,Базовое_масло_1,0318.25,71.865,,,,,,,,,,,,,,,784,1294,2234,,,,,,,,,,,4.44,21.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
train_51,Базовое_масло_14,Р-10 от 13.05.2024,84.281,,,,,,,,,,,,,,,4,2,4,,,,,,,,,,,1.02,5.01,,,,,,,,,,,,,,,,,,,,,801.4,798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
train_51,Базовое_масло_7,095.25,91.951,,,,,,,,,,,,,,5600,11925,20000,,,,,,,,,,,,9.13,76.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
train_51,Депрессорная_присадка_1,0862.24,26.931,,,,,,,,,,,,,,,,,,,,,,,,,,,,315.1,1828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
train_51,Детергент_1,0269.25,38.465,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.33,,,,,,,15.13,,1.598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,344.1,,,,
train_51,Детергент_9,0241.25,56.271,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.96,,,,,,,6.77,,0.165,,,,,,,,,,28438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171.7,161.2,,,
train_51,Дисперсант_4,08.07.24,86.423,,,,,,,,,,,,,,,,,,,,,,,,,,,,1278.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
train_51,Загуститель_1,"0396.25 9,8% 2 гр",51.493,,,,,,,,,,,,,,,,,,,,,,,,,,,,493.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
train_51,Противоизносная_присадка_11,0242.25,61.862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.42,,,8.6,,9.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
train_52,Антиоксидант_5,32,56.357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
train_52,Антиоксидант_6,нет номера у образца,26.931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
train_52,Антипенная_присадка_1,0940.22,3.991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
train_52,Базовое_масло_16,25721.17,84.281,,,,,,,,,,,,,,13,25,50,99,200,,,,,,90,,,,1.17,2.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
train_52,Базовое_масло_2,02596.22,45.461,,,,,,,,,,38,5,42,0,1220,2250,4642,10272,21000,,,96,,,14,,,,5.37,32.61,,,,,,0.00003,,0.028,,,0.00005,,0.00001,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,-18,,,,,,,,,,,,,,,,
train_52,Базовое_масло_3,01939.22,53.338,,,,,,,,,,40,5,40,0,317,497,876,1515,3030,,,127,,,13.2,,,,4.33,19.91,,,,,,0.0002,,0.0011,,,0.0001,,0.0002,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,-18,,,,,,,,,,,,,,,,
train_52,Депрессорная_присадка_3,28446.22,56.357,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
train_52,Детергент_1,0174.22,21.197,,,,,,,,,,,,,,,,,,,,,,,,,,,,163.5,,11.2,,,,,11.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,405.8,,,,
train_52,Детергент_4,02623.22,31.092,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.6,,,,,,,4.72,,2.5,,,0.9,,0.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149.6,151.3,,,
train_52,Дисперсант_1,36524.20,2.109,,,,,,,,,,,,,,,,,,,,,,,,,,,,245.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"49,1",,,,
train_52,Загуститель_2,0773.22 (8.5%),3.053,,,,,,,,,,,,,,,,,,,,,,,,,,,,373.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
train_52,Противоизносная_присадка_10,02028.22,92.118,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.59,,,,,,,,,,,,9.4,,11.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.08,,,
train_52,Соединение_молибдена_2,01762.22,95.918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
train_53,Антиоксидант_5,32,56.357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
train_53,Антиоксидант_6,нет номера у образца,26.931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
train_53,Антипенная_присадка_1,0940.22,3.991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
train_53,Базовое_масло_16,25721.17,84.281,,,,,,,,,,,,,,13,25,50,99,200,,,,,,90,,,,1.17,2.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
train_53,Базовое_масло_2,02596.22,45.461,,,,,,,,,,38,5,42,0,1220,2250,4642,10272,21000,,,96,,,14,,,,5.37,32.61,,,,,,0.00003,,0.028,,,0.00005,,0.00001,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,-18,,,,,,,,,,,,,,,,
train_53,Базовое_масло_3,01939.22,56.784,,,,,,,,,,40,5,40,0,317,497,876,1515,3030,,,127,,,13.2,,,,4.33,19.91,,,,,,0.0002,,0.0011,,,0.0001,,0.0002,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,-18,,,,,,,,,,,,,,,,
train_53,Депрессорная_присадка_3,28446.22,56.357,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
train_53,Детергент_1,0174.22,76.331,,,,,,,,,,,,,,,,,,,,,,,,,,,,163.5,,11.2,,,,,11.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,405.8,,,,
train_53,Детергент_4,02623.22,72.282,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.6,,,,,,,4.72,,2.5,,,0.9,,0.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149.6,151.3,,,
train_53,Дисперсант_1,36524.20,2.109,,,,,,,,,,,,,,,,,,,,,,,,,,,,245.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"49,1",,,,
train_53,Загуститель_2,0773.22 (8.5%),3.053,,,,,,,,,,,,,,,,,,,,,,,,,,,,373.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
train_53,Противоизносная_присадка_10,02028.22,92.118,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.59,,,,,,,,,,,,9.4,,11.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.08,,,
train_53,Соединение_молибдена_2,01762.22,95.918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
train_54,Антиоксидант_5,32,56.357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
train_54,Антиоксидант_6,нет номера у образца,26.931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
train_54,Антипенная_присадка_1,0940.22,3.991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
train_54,Базовое_масло_16,25721.17,84.281,,,,,,,,,,,,,,13,25,50,99,200,,,,,,90,,,,1.17,2.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
train_54,Базовое_масло_2,02596.22,45.461,,,,,,,,,,38,5,42,0,1220,2250,4642,10272,21000,,,96,,,14,,,,5.37,32.61,,,,,,0.00003,,0.028,,,0.00005,,0.00001,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,-18,,,,,,,,,,,,,,,,
train_54,Базовое_масло_3,01939.22,41.763,,,,,,,,,,40,5,40,0,317,497,876,1515,3030,,,127,,,13.2,,,,4.33,19.91,,,,,,0.0002,,0.0011,,,0.0001,,0.0002,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,-18,,,,,,,,,,,,,,,,
train_54,Депрессорная_присадка_3,28446.22,56.357,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
train_54,Детергент_1,0174.22,50.431,,,,,,,,,,,,,,,,,,,,,,,,,,,,163.5,,11.2,,,,,11.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,405.8,,,,
train_54,Детергент_4,02623.22,10.168,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.6,,,,,,,4.72,,2.5,,,0.9,,0.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149.6,151.3,,,
train_54,Дисперсант_1,36524.20,2.109,,,,,,,,,,,,,,,,,,,,,,,,,,,,245.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"49,1",,,,
train_54,Загуститель_2,0773.22 (8.5%),3.053,,,,,,,,,,,,,,,,,,,,,,,,,,,,373.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
train_54,Противоизносная_присадка_10,02028.22,92.118,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.59,,,,,,,,,,,,9.4,,11.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.08,,,
train_54,Соединение_молибдена_2,01762.22,95.918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
train_55,Антиоксидант_5,32,56.357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
train_55,Антиоксидант_6,нет номера у образца,26.931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
train_55,Антипенная_присадка_1,0940.22,3.991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
train_55,Базовое_масло_16,25721.17,84.281,,,,,,,,,,,,,,13,25,50,99,200,,,,,,90,,,,1.17,2.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
train_55,Базовое_масло_2,02596.22,45.461,,,,,,,,,,38,5,42,0,1220,2250,4642,10272,21000,,,96,,,14,,,,5.37,32.61,,,,,,0.00003,,0.028,,,0.00005,,0.00001,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,-18,,,,,,,,,,,,,,,,
train_55,Базовое_масло_3,01939.22,17.045,,,,,,,,,,40,5,40,0,317,497,876,1515,3030,,,127,,,13.2,,,,4.33,19.91,,,,,,0.0002,,0.0011,,,0.0001,,0.0002,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,-18,,,,,,,,,,,,,,,,
train_55,Депрессорная_присадка_3,28446.22,56.357,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
train_55,Детергент_4,02623.22,31.092,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.6,,,,,,,4.72,,2.5,,,0.9,,0.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149.6,151.3,,,
train_55,Детергент_6,02657.22,74.243,,,,,,,,,,,,,,,,,,,,,,,,,,,,271.9,,,,,,,10.59,,0.326,,,0.0006,,0.0005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,269.4,272.8,,,
train_55,Дисперсант_1,36524.20,2.109,,,,,,,,,,,,,,,,,,,,,,,,,,,,245.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"49,1",,,,
train_55,Загуститель_2,0773.22 (8.5%),3.053,,,,,,,,,,,,,,,,,,,,,,,,,,,,373.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
train_55,Противоизносная_присадка_10,02028.22,92.118,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.59,,,,,,,,,,,,9.4,,11.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.08,,,
train_55,Соединение_молибдена_2,01762.22,95.918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
train_56,Антиоксидант_1,02717.22,26.931,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
