Компонент,Наименование партии,Наименование показателя,Единица измерения_по_партиям,Значение показателя
Базовое_масло_10,0285.22,"Массовая доля серы, ASTM D6481",,2e-05
Базовое_масло_10,0285.22,"Массовая доля фосфора, ASTM D6481",,9e-05
Базовое_масло_10,0285.22,"Массовая доля цинка, ASTM D6481",,1e-05
Базовое_масло_10,0285.22,"Плотность при 15°С, ASTM D4052",,843.5
Базовое_масло_10,0285.22,"Плотность при 20°С, ASTM D4052",,840.25
Базовое_масло_10,0285.22,Последовательность 1 | ASTM D892,,0.0
Базовое_масло_10,0285.22,Последовательность 2 | ASTM D892,,0.0
Базовое_масло_10,0285.22,Последовательность 3 | ASTM D892,,0.0
Базовое_масло_10,0285.22,"Содержание серы, мг/кг",,0.2
Базовое_масло_10,0285.22,"Температура застывания, ГОСТ 20287, метод Б",,0.0
Базовое_масло_10,0285.22,Цвет Сейболт | -,,30.0
Базовое_масло_10,0771.22,Анилиновая точка,,68.4
Базовое_масло_10,0771.22,Группа по API,,3.0
Базовое_масло_10,0771.22,Деэм.вода | ASTM D1401,,40.0
Базовое_масло_10,0771.22,Деэм.время | ASTM D1401,,5.0
Базовое_масло_10,0771.22,Деэм.масло | ASTM D1401,,40.0
Базовое_масло_10,0771.22,Деэм.эмульсия | ASTM D1401,,0.0
Базовое_масло_10,0771.22,"Динамическая вязкость CCS -15°C, ASTM D5293",,517.0
Базовое_масло_10,0771.22,"Динамическая вязкость CCS -20°C, ASTM D5293",,838.0
Базовое_масло_10,0771.22,"Динамическая вязкость CCS -25°C, ASTM D5293",,1397.0
Базовое_масло_10,0771.22,"Динамическая вязкость CCS -30°C, ASTM D5293",,2488.0
Базовое_масло_10,0771.22,"Динамическая вязкость CCS -35°C, ASTM D5293",,4604.0
Базовое_масло_10,0771.22,"Индекс вязкости, ГОСТ 25371",,112.0
Базовое_масло_10,0771.22,"Испаряемость по NOACK, ASTM D5800",,14.3
Базовое_масло_10,0771.22,"Кинематическая вязкость, при 100°C, ASTM D445",,4.544
Базовое_масло_10,0771.22,"Кинематическая вязкость, при 40°C, ASTM D445",,22.979
Базовое_масло_10,0771.22,"Массовая доля кальция, ASTM D6481",,0.00015
Базовое_масло_10,0771.22,"Массовая доля серы, ASTM D6481",,0.00023
Базовое_масло_10,0771.22,"Массовая доля фосфора, ASTM D6481",,2e-05
Базовое_масло_10,0771.22,"Массовая доля цинка, ASTM D6481",,2e-05
Базовое_масло_10,0771.22,"Плотность при 15°С, ASTM D4052",,843.5
Базовое_масло_10,0771.22,"Плотность при 20°С, ASTM D4052",,840.25
Базовое_масло_10,0771.22,Последовательность 1 | ASTM D892,,0.0
Базовое_масло_10,0771.22,Последовательность 2 | ASTM D892,,0.0
Базовое_масло_10,0771.22,Последовательность 3 | ASTM D892,,0.0
Базовое_масло_10,0771.22,"Содержание серы, мг/кг",,0.2
Базовое_масло_10,0771.22,"Температура застывания, ГОСТ 20287, метод Б",,-23.0
Базовое_масло_10,0771.22,Цвет Сейболт | -,,30.0
Базовое_масло_10,typical,Анилиновая точка,,68.4
Базовое_масло_10,typical,Группа по API,,3.0
Базовое_масло_10,typical,Деэм.вода | ASTM D1401,,40.0
Базовое_масло_10,typical,Деэм.время | ASTM D1401,,5.0
Базовое_масло_10,typical,Деэм.масло | ASTM D1401,,40.0
Базовое_масло_10,typical,Деэм.эмульсия | ASTM D1401,,0.0
Базовое_масло_10,typical,"Динамическая вязкость CCS -15°C, ASTM D5293",,506.2
Базовое_масло_10,typical,"Динамическая вязкость CCS -20°C, ASTM D5293",,823.4
Базовое_масло_10,typical,"Динамическая вязкость CCS -25°C, ASTM D5293",,1376.6
Базовое_масло_10,typical,"Динамическая вязкость CCS -30°C, ASTM D5293",,2464.1666666666665
Базовое_масло_10,typical,"Динамическая вязкость CCS -35°C, ASTM D5293",,4481.5
Базовое_масло_10,typical,"Индекс вязкости, ГОСТ 25371",,113.0
Базовое_масло_10,typical,"Испаряемость по NOACK, ASTM D5800",,14.7
Базовое_масло_10,typical,"Кинематическая вязкость, при 100°C, ASTM D445",,4.547333333333333
Базовое_масло_10,typical,"Кинематическая вязкость, при 40°C, ASTM D445",,21.53
Базовое_масло_10,typical,"Массовая доля кальция, ASTM D6481",,0.00015
Базовое_масло_10,typical,"Массовая доля серы, ASTM D6481",,0.0001
Базовое_масло_10,typical,"Массовая доля фосфора, ASTM D6481",,7.6e-05
Базовое_масло_10,typical,"Массовая доля цинка, ASTM D6481",,5e-05
Базовое_масло_10,typical,"Плотность при 15°С, ASTM D4052",,843.5
Базовое_масло_10,typical,"Плотность при 20°С, ASTM D4052",,840.25
Базовое_масло_10,typical,Последовательность 1 | ASTM D892,,0.0
Базовое_масло_10,typical,Последовательность 2 | ASTM D892,,0.0
Базовое_масло_10,typical,Последовательность 3 | ASTM D892,,0.0
Базовое_масло_10,typical,"Содержание серы, мг/кг",,0.2
Базовое_масло_10,typical,"Температура застывания, ГОСТ 20287, метод Б",,-26.0
Базовое_масло_10,typical,Цвет Сейболт | -,,30.0
Базовое_масло_11,0879.23,Анилиновая точка,,68.4
Базовое_масло_11,0879.23,Группа по API,,1.0
Базовое_масло_11,0879.23,Деэм.вода | ASTM D1401,,37.0
Базовое_масло_11,0879.23,Деэм.время | ASTM D1401,,5.0
Базовое_масло_11,0879.23,Деэм.масло | ASTM D1401,,43.0
Базовое_масло_11,0879.23,Деэм.эмульсия | ASTM D1401,,0.0
Базовое_масло_11,0879.23,"Динамическая вязкость CCS -15°C, ASTM D5293",,1184.0
Базовое_масло_11,0879.23,"Динамическая вязкость CCS -20°C, ASTM D5293",,2242.0
Базовое_масло_11,0879.23,"Динамическая вязкость CCS -25°C, ASTM D5293",,4648.0
Базовое_масло_11,0879.23,"Динамическая вязкость CCS -30°C, ASTM D5293",,10120.0
Базовое_масло_11,0879.23,"Динамическая вязкость CCS -35°C, ASTM D5293",,4319.375
Базовое_масло_11,0879.23,"Индекс вязкости, ГОСТ 25371",,100.0
Базовое_масло_11,0879.23,"Испаряемость по NOACK, ASTM D5800",,14.1
Базовое_масло_11,0879.23,"Кинематическая вязкость, при 100°C, ASTM D445",,5.38
Базовое_масло_11,0879.23,"Кинематическая вязкость, при 40°C, ASTM D445",,32.25
Базовое_масло_11,0879.23,"Массовая доля кальция, ASTM D6481",,0.0004
Базовое_масло_11,0879.23,"Массовая доля серы, ASTM D6481",,0.024
Базовое_масло_11,0879.23,"Массовая доля фосфора, ASTM D6481",,0.0001
Базовое_масло_11,0879.23,"Массовая доля цинка, ASTM D6481",,0.0001
Базовое_масло_11,0879.23,"Плотность при 15°С, ASTM D4052",,843.5
Базовое_масло_11,0879.23,"Плотность при 20°С, ASTM D4052",,840.25
Базовое_масло_11,0879.23,Последовательность 1 | ASTM D892,,0.0
Базовое_масло_11,0879.23,Последовательность 2 | ASTM D892,,0.0
Базовое_масло_11,0879.23,Последовательность 3 | ASTM D892,,0.0
Базовое_масло_11,0879.23,"Температура застывания, ГОСТ 20287, метод Б",,-17.0
Базовое_масло_11,0879.23,Цвет Сейболт | -,,30.0
Базовое_масло_11,typical,Анилиновая точка,,68.4
Базовое_масло_11,typical,Группа по API,,1.0
Базовое_масло_11,typical,Деэм.вода | ASTM D1401,,37.0
Базовое_масло_11,typical,Деэм.время | ASTM D1401,,5.0
Базовое_масло_11,typical,Деэм.масло | ASTM D1401,,43.0
Базовое_масло_11,typical,Деэм.эмульсия | ASTM D1401,,0.0
Базовое_масло_11,typical,"Динамическая вязкость CCS -15°C, ASTM D5293",,1184.0
Базовое_масло_11,typical,"Динамическая вязкость CCS -20°C, ASTM D5293",,2242.0
Базовое_масло_11,typical,"Динамическая вязкость CCS -25°C, ASTM D5293",,4648.0
Базовое_масло_11,typical,"Динамическая вязкость CCS -30°C, ASTM D5293",,10120.0
Базовое_масло_11,typical,"Динамическая вязкость CCS -35°C, ASTM D5293",,4319.375
Базовое_масло_11,typical,"Индекс вязкости, ГОСТ 25371",,100.0
Базовое_масло_11,typical,"Испаряемость по NOACK, ASTM D5800",,14.1
Базовое_масло_11,typical,"Кинематическая вязкость, при 100°C, ASTM D445",,5.38
Базовое_масло_11,typical,"Кинематическая вязкость, при 40°C, ASTM D445",,32.25
Базовое_масло_11,typical,"Массовая доля кальция, ASTM D6481",,0.0004
Базовое_масло_11,typical,"Массовая доля серы, ASTM D6481",,0.024
Базовое_масло_11,typical,"Массовая доля фосфора, ASTM D6481",,0.0001
Базовое_масло_11,typical,"Массовая доля цинка, ASTM D6481",,0.0001
Базовое_масло_11,typical,"Плотность при 15°С, ASTM D4052",,843.5
Базовое_масло_11,typical,"Плотность при 20°С, ASTM D4052",,840.25
Базовое_масло_11,typical,Последовательность 1 | ASTM D892,,0.0
Базовое_масло_11,typical,Последовательность 2 | ASTM D892,,0.0
Базовое_масло_11,typical,Последовательность 3 | ASTM D892,,0.0
Базовое_масло_11,typical,"Температура застывания, ГОСТ 20287, метод Б",,-17.0
Базовое_масло_11,typical,Цвет Сейболт | -,,30.0
Базовое_масло_12,02907.23,Анилиновая точка,,68.4
Базовое_масло_12,02907.23,Группа по API,,4.0
Базовое_масло_12,02907.23,Деэм.вода | ASTM D1401,,40.0
Базовое_масло_12,02907.23,Деэм.время | ASTM D1401,,5.0
Базовое_масло_12,02907.23,Деэм.масло | ASTM D1401,,39.833333333333336
Базовое_масло_12,02907.23,Деэм.эмульсия | ASTM D1401,,0.0
Базовое_масло_12,02907.23,"Динамическая вязкость CCS -15°C, ASTM D5293",,508.54545454545456
Базовое_масло_12,02907.23,"Динамическая вязкость CCS -25°C, ASTM D5293",,498.0
Базовое_масло_12,02907.23,"Динамическая вязкость CCS -30°C, ASTM D5293",,766.0
Базовое_масло_12,02907.23,"Динамическая вязкость CCS -35°C, ASTM D5293",,1259.0
Базовое_масло_12,02907.23,"Индекс вязкости, ГОСТ 25371",,129.0
Базовое_масло_12,02907.23,"Испаряемость по NOACK, ASTM D5800",,14.2
Базовое_масло_12,02907.23,"Кинематическая вязкость, при 100°C, ASTM D445",,3.81
Базовое_масло_12,02907.23,"Кинематическая вязкость, при 40°C, ASTM D445",,16.85
Базовое_масло_12,02907.23,"Массовая доля кальция, ASTM D6481",,0.0002
Базовое_масло_12,02907.23,"Массовая доля серы, ASTM D6481",,0.0003999999999999
Базовое_масло_12,02907.23,"Массовая доля фосфора, ASTM D6481",,0.0001
Базовое_масло_12,02907.23,"Массовая доля цинка, ASTM D6481",,0.0001
Базовое_масло_12,02907.23,"Плотность при 15°С, ASTM D4052",,843.5
Базовое_масло_12,02907.23,"Плотность при 20°С, ASTM D4052",,840.25
Базовое_масло_12,02907.23,Последовательность 1 | ASTM D892,,0.0
Базовое_масло_12,02907.23,Последовательность 2 | ASTM D892,,0.0
Базовое_масло_12,02907.23,Последовательность 3 | ASTM D892,,0.0
Базовое_масло_12,02907.23,"Температура застывания, ГОСТ 20287, метод Б",,-71.0
Базовое_масло_12,02907.23,Цвет Сейболт | -,,30.0
Базовое_масло_12,typical,Анилиновая точка,,68.4
Базовое_масло_12,typical,Группа по API,,4.0
Базовое_масло_12,typical,Деэм.вода | ASTM D1401,,40.0
Базовое_масло_12,typical,Деэм.время | ASTM D1401,,5.0
Базовое_масло_12,typical,Деэм.масло | ASTM D1401,,39.833333333333336
Базовое_масло_12,typical,Деэм.эмульсия | ASTM D1401,,0.0
Базовое_масло_12,typical,"Динамическая вязкость CCS -15°C, ASTM D5293",,508.54545454545456
Базовое_масло_12,typical,"Динамическая вязкость CCS -25°C, ASTM D5293",,498.0
Базовое_масло_12,typical,"Динамическая вязкость CCS -30°C, ASTM D5293",,766.0
Базовое_масло_12,typical,"Динамическая вязкость CCS -35°C, ASTM D5293",,1259.0
Базовое_масло_12,typical,"Индекс вязкости, ГОСТ 25371",,129.0
Базовое_масло_12,typical,"Испаряемость по NOACK, ASTM D5800",,14.2
Базовое_масло_12,typical,"Кинематическая вязкость, при 100°C, ASTM D445",,3.81
Базовое_масло_12,typical,"Кинематическая вязкость, при 40°C, ASTM D445",,16.85
Базовое_масло_12,typical,"Массовая доля кальция, ASTM D6481",,0.0002
Базовое_масло_12,typical,"Массовая доля серы, ASTM D6481",,0.0004
Базовое_масло_12,typical,"Массовая доля фосфора, ASTM D6481",,0.0001
Базовое_масло_12,typical,"Массовая доля цинка, ASTM D6481",,0.0001
Базовое_масло_12,typical,"Плотность при 15°С, ASTM D4052",,843.5
Базовое_масло_12,typical,"Плотность при 20°С, ASTM D4052",,840.25
Базовое_масло_12,typical,Последовательность 1 | ASTM D892,,0.0
Базовое_масло_12,typical,Последовательность 2 | ASTM D892,,0.0
Базовое_масло_12,typical,Последовательность 3 | ASTM D892,,0.0
Базовое_масло_12,typical,"Температура застывания, ГОСТ 20287, метод Б",,-71.0
Базовое_масло_12,typical,Цвет Сейболт | -,,30.0
Базовое_масло_13,0934.22,Анилиновая точка,,68.4
Базовое_масло_13,0934.22,Группа по API,,3.0
Базовое_масло_13,0934.22,Деэм.вода | ASTM D1401,,40.0
Базовое_масло_13,0934.22,Деэм.время | ASTM D1401,,5.0
Базовое_масло_13,0934.22,Деэм.масло | ASTM D1401,,40.0
Базовое_масло_13,0934.22,Деэм.эмульсия | ASTM D1401,,0.0
Базовое_масло_13,0934.22,"Динамическая вязкость CCS -15°C, ASTM D5293",,1181.0
Базовое_масло_13,0934.22,"Динамическая вязкость CCS -20°C, ASTM D5293",,2011.0
Базовое_масло_13,0934.22,"Динамическая вязкость CCS -25°C, ASTM D5293",,4345.0
Базовое_масло_13,0934.22,"Динамическая вязкость CCS -30°C, ASTM D5293",,6680.0
Базовое_масло_13,0934.22,"Динамическая вязкость CCS -35°C, ASTM D5293",,4319.375
Базовое_масло_13,0934.22,"Индекс вязкости, ГОСТ 25371",,116.0
Базовое_масло_13,0934.22,"Испаряемость по NOACK, ASTM D5800",,4.6
Базовое_масло_13,0934.22,"Кинематическая вязкость, при 100°C, ASTM D445",,6.39
Базовое_масло_13,0934.22,"Кинематическая вязкость, при 40°C, ASTM D445",,38.55
Базовое_масло_13,0934.22,"Массовая доля кальция, ASTM D6481",,0.00071
Базовое_масло_13,0934.22,"Массовая доля серы, ASTM D6481",,0.00082
Базовое_масло_13,0934.22,"Массовая доля фосфора, ASTM D6481",,0.00016
Базовое_масло_13,0934.22,"Массовая доля цинка, ASTM D6481",,4e-05
Базовое_масло_13,0934.22,"Плотность при 15°С, ASTM D4052",,843.5
Базовое_масло_13,0934.22,"Плотность при 20°С, ASTM D4052",,840.25
Базовое_масло_13,0934.22,Последовательность 1 | ASTM D892,,0.0
Базовое_масло_13,0934.22,Последовательность 2 | ASTM D892,,0.0
Базовое_масло_13,0934.22,Последовательность 3 | ASTM D892,,0.0
Базовое_масло_13,0934.22,"Содержание серы, мг/кг",,0.2
Базовое_масло_13,0934.22,"Температура застывания, ГОСТ 20287, метод Б",,-16.0
Базовое_масло_13,0934.22,Цвет Сейболт | -,,30.0
Базовое_масло_13,typical,Анилиновая точка,,68.4
Базовое_масло_13,typical,Группа по API,,3.0
Базовое_масло_13,typical,Деэм.вода | ASTM D1401,,40.0
Базовое_масло_13,typical,Деэм.время | ASTM D1401,,5.0
Базовое_масло_13,typical,Деэм.масло | ASTM D1401,,40.0
Базовое_масло_13,typical,Деэм.эмульсия | ASTM D1401,,0.0
Базовое_масло_13,typical,"Динамическая вязкость CCS -15°C, ASTM D5293",,1181.0
Базовое_масло_13,typical,"Динамическая вязкость CCS -20°C, ASTM D5293",,2011.0
Базовое_масло_13,typical,"Динамическая вязкость CCS -25°C, ASTM D5293",,4345.0
Базовое_масло_13,typical,"Динамическая вязкость CCS -30°C, ASTM D5293",,6680.0
Базовое_масло_13,typical,"Динамическая вязкость CCS -35°C, ASTM D5293",,4319.375
Базовое_масло_13,typical,"Индекс вязкости, ГОСТ 25371",,116.0
Базовое_масло_13,typical,"Испаряемость по NOACK, ASTM D5800",,4.6
Базовое_масло_13,typical,"Кинематическая вязкость, при 100°C, ASTM D445",,6.39
Базовое_масло_13,typical,"Кинематическая вязкость, при 40°C, ASTM D445",,38.55
Базовое_масло_13,typical,"Массовая доля кальция, ASTM D6481",,0.00071
Базовое_масло_13,typical,"Массовая доля серы, ASTM D6481",,0.00082
Базовое_масло_13,typical,"Массовая доля фосфора, ASTM D6481",,0.00016
Базовое_масло_13,typical,"Массовая доля цинка, ASTM D6481",,4e-05
Базовое_масло_13,typical,"Плотность при 15°С, ASTM D4052",,843.5
Базовое_масло_13,typical,"Плотность при 20°С, ASTM D4052",,840.25
Базовое_масло_13,typical,Последовательность 1 | ASTM D892,,0.0
Базовое_масло_13,typical,Последовательность 2 | ASTM D892,,0.0
Базовое_масло_13,typical,Последовательность 3 | ASTM D892,,0.0
Базовое_масло_13,typical,"Содержание серы, мг/кг",,0.2
Базовое_масло_13,typical,"Температура застывания, ГОСТ 20287, метод Б",,-16.0
Базовое_масло_13,typical,Цвет Сейболт | -,,30.0
Базовое_масло_14,_22.04.2025,Анилиновая точка,,68.4
Базовое_масло_14,_22.04.2025,Группа по API,,2.0
Базовое_масло_14,_22.04.2025,Деэм.вода | ASTM D1401,,40.0
Базовое_масло_14,_22.04.2025,Деэм.время | ASTM D1401,,5.0
Базовое_масло_14,_22.04.2025,Деэм.масло | ASTM D1401,,39.833333333333336
Базовое_масло_14,_22.04.2025,Деэм.эмульсия | ASTM D1401,,0.0
Базовое_масло_14,_22.04.2025,"Динамическая вязкость CCS -15°C, ASTM D5293",,13.0
Базовое_масло_14,_22.04.2025,"Динамическая вязкость CCS -20°C, ASTM D5293",,25.0
Базовое_масло_14,_22.04.2025,"Динамическая вязкость CCS -25°C, ASTM D5293",,50.0
Базовое_масло_14,_22.04.2025,"Динамическая вязкость CCS -30°C, ASTM D5293",,100.0
Базовое_масло_14,_22.04.2025,"Динамическая вязкость CCS -35°C, ASTM D5293",,200.0
Базовое_масло_14,_22.04.2025,"Индекс вязкости, ГОСТ 25371",,113.0
Базовое_масло_14,_22.04.2025,"Испаряемость по NOACK, ASTM D5800",,90.0
Базовое_масло_14,_22.04.2025,"Кинематическая вязкость, при 100°C, ASTM D445",,1.02
Базовое_масло_14,_22.04.2025,"Кинематическая вязкость, при 40°C, ASTM D445",,2.54
Базовое_масло_14,_22.04.2025,"Массовая доля кальция, ASTM D6481",,0.0002
Базовое_масло_14,_22.04.2025,"Массовая доля серы, ASTM D6481",,0.0004
Базовое_масло_14,_22.04.2025,"Массовая доля фосфора, ASTM D6481",,0.0001
Базовое_масло_14,_22.04.2025,"Массовая доля цинка, ASTM D6481",,0.0001
Базовое_масло_14,_22.04.2025,"Плотность при 15°С, ASTM D4052",,801.4
Базовое_масло_14,_22.04.2025,"Плотность при 20°С, ASTM D4052",,798.0
Базовое_масло_14,_22.04.2025,Последовательность 1 | ASTM D892,,0.0
Базовое_масло_14,_22.04.2025,Последовательность 2 | ASTM D892,,0.0
Базовое_масло_14,_22.04.2025,Последовательность 3 | ASTM D892,,0.0
Базовое_масло_14,_22.04.2025,"Температура застывания, ГОСТ 20287, метод Б",,-68.0
Базовое_масло_14,_22.04.2025,Цвет Сейболт | -,,30.0
Базовое_масло_14,typical,Анилиновая точка,,68.4
Базовое_масло_14,typical,Группа по API,,2.0
Базовое_масло_14,typical,Деэм.вода | ASTM D1401,,40.0
Базовое_масло_14,typical,Деэм.время | ASTM D1401,,5.0
Базовое_масло_14,typical,Деэм.масло | ASTM D1401,,39.833333333333336
Базовое_масло_14,typical,Деэм.эмульсия | ASTM D1401,,0.0
Базовое_масло_14,typical,"Динамическая вязкость CCS -15°C, ASTM D5293",,13.0
Базовое_масло_14,typical,"Динамическая вязкость CCS -20°C, ASTM D5293",,25.0
Базовое_масло_14,typical,"Динамическая вязкость CCS -25°C, ASTM D5293",,50.0
Базовое_масло_14,typical,"Динамическая вязкость CCS -30°C, ASTM D5293",,100.0
Базовое_масло_14,typical,"Динамическая вязкость CCS -35°C, ASTM D5293",,200.0
Базовое_масло_14,typical,"Индекс вязкости, ГОСТ 25371",,113.0
Базовое_масло_14,typical,"Испаряемость по NOACK, ASTM D5800",,90.0
Базовое_масло_14,typical,"Кинематическая вязкость, при 100°C, ASTM D445",,1.5
Базовое_масло_14,typical,"Кинематическая вязкость, при 40°C, ASTM D445",,2.69
Базовое_масло_14,typical,"Массовая доля кальция, ASTM D6481",,0.0002
Базовое_масло_14,typical,"Массовая доля серы, ASTM D6481",,0.0004
Базовое_масло_14,typical,"Массовая доля фосфора, ASTM D6481",,0.0001
Базовое_масло_14,typical,"Массовая доля цинка, ASTM D6481",,0.0001
Базовое_масло_14,typical,"Плотность при 15°С, ASTM D4052",,801.4
Базовое_масло_14,typical,"Плотность при 20°С, ASTM D4052",,798.0
Базовое_масло_14,typical,Последовательность 1 | ASTM D892,,0.0
Базовое_масло_14,typical,Последовательность 2 | ASTM D892,,0.0
Базовое_масло_14,typical,Последовательность 3 | ASTM D892,,0.0
Базовое_масло_14,typical,"Температура застывания, ГОСТ 20287, метод Б",,-68.0
Базовое_масло_14,typical,Цвет Сейболт | -,,30.0
Базовое_масло_14,Р-10 от 13.05.2024,Анилиновая точка,,68.4
Базовое_масло_14,Р-10 от 13.05.2024,Группа по API,,2.0
Базовое_масло_14,Р-10 от 13.05.2024,Деэм.вода | ASTM D1401,,40.0
Базовое_масло_14,Р-10 от 13.05.2024,Деэм.время | ASTM D1401,,5.0
Базовое_масло_14,Р-10 от 13.05.2024,Деэм.масло | ASTM D1401,,39.833333333333336
Базовое_масло_14,Р-10 от 13.05.2024,Деэм.эмульсия | ASTM D1401,,0.0
Базовое_масло_14,Р-10 от 13.05.2024,"Динамическая вязкость CCS -15°C, ASTM D5293",,13.0
Базовое_масло_14,Р-10 от 13.05.2024,"Динамическая вязкость CCS -20°C, ASTM D5293",,4.0
Базовое_масло_14,Р-10 от 13.05.2024,"Динамическая вязкость CCS -25°C, ASTM D5293",,2.0
Базовое_масло_14,Р-10 от 13.05.2024,"Динамическая вязкость CCS -30°C, ASTM D5293",,4.0
Базовое_масло_14,Р-10 от 13.05.2024,"Динамическая вязкость CCS -35°C, ASTM D5293",,200.0
Базовое_масло_14,Р-10 от 13.05.2024,"Индекс вязкости, ГОСТ 25371",,113.0
Базовое_масло_14,Р-10 от 13.05.2024,"Испаряемость по NOACK, ASTM D5800",,90.0
Базовое_масло_14,Р-10 от 13.05.2024,"Кинематическая вязкость, при 100°C, ASTM D445",,1.02
Базовое_масло_14,Р-10 от 13.05.2024,"Кинематическая вязкость, при 40°C, ASTM D445",,5.01
Базовое_масло_14,Р-10 от 13.05.2024,"Массовая доля кальция, ASTM D6481",,0.0002
Базовое_масло_14,Р-10 от 13.05.2024,"Массовая доля серы, ASTM D6481",,0.0004
Базовое_масло_14,Р-10 от 13.05.2024,"Массовая доля фосфора, ASTM D6481",,0.0001
Базовое_масло_14,Р-10 от 13.05.2024,"Массовая доля цинка, ASTM D6481",,0.0001
Базовое_масло_14,Р-10 от 13.05.2024,"Плотность при 15°С, ASTM D4052",,801.4
Базовое_масло_14,Р-10 от 13.05.2024,"Плотность при 20°С, ASTM D4052",,798.0
Базовое_масло_14,Р-10 от 13.05.2024,Последовательность 1 | ASTM D892,,0.0
Базовое_масло_14,Р-10 от 13.05.2024,Последовательность 2 | ASTM D892,,0.0
Базовое_масло_14,Р-10 от 13.05.2024,Последовательность 3 | ASTM D892,,0.0
Базовое_масло_14,Р-10 от 13.05.2024,"Температура застывания, ГОСТ 20287, метод Б",,-68.0
Базовое_масло_14,Р-10 от 13.05.2024,Цвет Сейболт | -,,30.0
Базовое_масло_14,из ЦП 19.09.23г,Анилиновая точка,,68.4
Базовое_масло_14,из ЦП 19.09.23г,Группа по API,,2.0
Базовое_масло_14,из ЦП 19.09.23г,Деэм.вода | ASTM D1401,,40.0
Базовое_масло_14,из ЦП 19.09.23г,Деэм.время | ASTM D1401,,5.0
Базовое_масло_14,из ЦП 19.09.23г,Деэм.масло | ASTM D1401,,39.833333333333336
Базовое_масло_14,из ЦП 19.09.23г,Деэм.эмульсия | ASTM D1401,,0.0
Базовое_масло_14,из ЦП 19.09.23г,"Динамическая вязкость CCS -15°C, ASTM D5293",,13.0
Базовое_масло_14,из ЦП 19.09.23г,"Динамическая вязкость CCS -20°C, ASTM D5293",,25.0
Базовое_масло_14,из ЦП 19.09.23г,"Динамическая вязкость CCS -25°C, ASTM D5293",,50.0
Базовое_масло_14,из ЦП 19.09.23г,"Динамическая вязкость CCS -30°C, ASTM D5293",,100.0
Базовое_масло_14,из ЦП 19.09.23г,"Динамическая вязкость CCS -35°C, ASTM D5293",,200.0
Базовое_масло_14,из ЦП 19.09.23г,"Индекс вязкости, ГОСТ 25371",,113.0
Базовое_масло_14,из ЦП 19.09.23г,"Испаряемость по NOACK, ASTM D5800",,90.0
Базовое_масло_14,из ЦП 19.09.23г,"Кинематическая вязкость, при 100°C, ASTM D445",,1.0
Базовое_масло_14,из ЦП 19.09.23г,"Кинематическая вязкость, при 40°C, ASTM D445",,2.0
Базовое_масло_14,из ЦП 19.09.23г,"Массовая доля кальция, ASTM D6481",,0.0002
Базовое_масло_14,из ЦП 19.09.23г,"Массовая доля серы, ASTM D6481",,0.0004
Базовое_масло_14,из ЦП 19.09.23г,"Массовая доля фосфора, ASTM D6481",,0.0001
Базовое_масло_14,из ЦП 19.09.23г,"Массовая доля цинка, ASTM D6481",,0.0001
Базовое_масло_14,из ЦП 19.09.23г,"Плотность при 15°С, ASTM D4052",,801.4
Базовое_масло_14,из ЦП 19.09.23г,"Плотность при 20°С, ASTM D4052",,798.0
Базовое_масло_14,из ЦП 19.09.23г,Последовательность 1 | ASTM D892,,0.0
Базовое_масло_14,из ЦП 19.09.23г,Последовательность 2 | ASTM D892,,0.0
Базовое_масло_14,из ЦП 19.09.23г,Последовательность 3 | ASTM D892,,0.0
Базовое_масло_14,из ЦП 19.09.23г,"Температура застывания, ГОСТ 20287, метод Б",,-68.0
Базовое_масло_14,из ЦП 19.09.23г,Цвет Сейболт | -,,30.0
Базовое_масло_15,02602.23,Анилиновая точка,,68.4
Базовое_масло_15,02602.23,Группа по API,,4.0
Базовое_масло_15,02602.23,Деэм.вода | ASTM D1401,,40.0
Базовое_масло_15,02602.23,Деэм.время | ASTM D1401,,5.0
Базовое_масло_15,02602.23,Деэм.масло | ASTM D1401,,39.833333333333336
Базовое_масло_15,02602.23,Деэм.эмульсия | ASTM D1401,,0.0
Базовое_масло_15,02602.23,"Динамическая вязкость CCS -15°C, ASTM D5293",,508.54545454545456
Базовое_масло_15,02602.23,"Динамическая вязкость CCS -20°C, ASTM D5293",,800.3
Базовое_масло_15,02602.23,"Динамическая вязкость CCS -25°C, ASTM D5293",,1311.8
Базовое_масло_15,02602.23,"Динамическая вязкость CCS -30°C, ASTM D5293",,149.0
Базовое_масло_15,02602.23,"Динамическая вязкость CCS -35°C, ASTM D5293",,286.0
Базовое_масло_15,02602.23,"Индекс вязкости, ГОСТ 25371",,98.0
Базовое_масло_15,02602.23,"Испаряемость по NOACK, ASTM D5800",,14.2
Базовое_масло_15,02602.23,"Кинематическая вязкость, при -30⁰С | ASTM D445",,248.0
Базовое_масло_15,02602.23,"Кинематическая вязкость, при 100°C, ASTM D445",,2.05
Базовое_масло_15,02602.23,"Кинематическая вязкость, при 40°C, ASTM D445",,7.001
Базовое_масло_15,02602.23,"Массовая доля кальция, ASTM D6481",,0.0002
Базовое_масло_15,02602.23,"Массовая доля серы, ASTM D6481",,0.0004
Базовое_масло_15,02602.23,"Массовая доля фосфора, ASTM D6481",,0.0001
Базовое_масло_15,02602.23,"Массовая доля цинка, ASTM D6481",,0.0001
Базовое_масло_15,02602.23,"Плотность при 15°С, ASTM D4052",,843.5
