Компонент,Наименование партии,% масс. (Mo),COC (°C),"Активный Азот / Кислород, % масс. (N или O)",Анилиновая точка,Атомное отношение P:Zn,Группа по API,Деаэрация | ASTM D3427,Деэм.вода | ASTM D1401,Деэм.время | ASTM D1401,Деэм.масло | ASTM D1401,Деэм.эмульсия | ASTM D1401,"Динамическая вязкость CCS -15°C, ASTM D5293","Динамическая вязкость CCS -20°C, ASTM D5293","Динамическая вязкость CCS -25°C, ASTM D5293","Динамическая вязкость CCS -30°C, ASTM D5293","Динамическая вязкость CCS -35°C, ASTM D5293","Дипольный момент, Д",Длина углеродной цепи,"Индекс вязкости, ГОСТ 25371",Индекс полидисперсности,"Индекс стабильности, %","Испаряемость по NOACK, ASTM D5800",Кинематическая вязкость,"Кинематическая вязкость, при -30⁰С | ASTM D445","Кинематическая вязкость, при 100°C, ASTM D445","Кинематическая вязкость, при 40°C, ASTM D445","Кислотное число, ГОСТ 11362","Масса гидрофобного хвоста, г/моль",Массовая доля кальция | ASTM D6481,"Массовая доля кальция, ASTM D6481",Массовая доля серы | ASTM D6481,"Массовая доля серы, ASTM D6481","Массовая доля сульфатной золы, ГОСТ 12417",Массовая доля фосфора | ASTM D6481,"Массовая доля фосфора, ASTM D6481",Массовая доля цинка | ASTM D6481,"Массовая доля цинка, ASTM D6481",Общее содержание азота | ASTM D3228,Определение содержания воды методом Карла Фишера | ASTM D 6304,Отношение S:Mo,Отношение Мыло/Основание,"Плотность при 15°С, ASTM D4052","Плотность при 20°С, ASTM D4052",Последовательность 1 | ASTM D892,Последовательность 2 | ASTM D892,Последовательность 3 | ASTM D892,"Потенциал ионизации,эВ","Размер мицелл, нм","Содержание MgCO3, CaCO3, % масс.",Содержание Азота,Содержание Бора,"Содержание воды, % масс.",Содержание масла,"Содержание масла, % масс.","Содержание металла (Ca/Mg), % масс.","Содержание мыла, % масс.",Содержание полимера,"Содержание серы, % масс.","Содержание серы, мг/кг",Соотношение мономеров (EO:PO),Средневесовая масса,Степень полисульфидности,"Стерический фактор, Å3","Температура застывания, ГОСТ 20287, метод Б","Температура плавления, °C",Температура проведения теста | -,"Химический потенциал, Дж/моль",Цвет | ASTM D1500,Цвет Сейболт | -,"Щелочное число, ASTM D2896","Щелочное число, ГОСТ 11362","Энергия ВЗМО, эВ","Энергия НСМО, эВ","Энергия диссоциации связи Х-Н, ккал/моль"
Базовое_масло_2,01767.22,,,,68.4,,1.0,,35.0,30.0,40.0,5.0,1150.0,2199.0,4564.0,10045.0,21400.0,,,96.0,,,15.3,,,5.31,32.06,,,,0.00056,,0.02433,,,3e-05,,5e-05,,,,,870.7,867.2,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,-17.0,,,,,30.0,,,,,
Базовое_масло_2,01940.22,,,,68.4,,1.0,,39.0,5.0,41.0,0.0,1067.0,2049.0,4252.0,9446.0,21400.0,,,99.0,,,15.0,,,5.25,31.12,,,,0.00014,,0.032,,,3e-05,,5e-05,,,,,870.7,867.2,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,-16.0,,,,,30.0,,,,,
Базовое_масло_2,01943.23,,,,68.4,,1.0,,39.0,5.0,41.0,0.0,1250.0,2382.0,4932.0,10861.0,21400.0,,,97.0,,,13.7,,,5.45,33.25,,,,0.0002,,0.021,,,0.0001,,0.0001,,,,,870.7,867.2,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,-16.0,,,,,30.0,,,,,
Базовое_масло_2,01993.25,,,,68.4,,1.0,,38.63636363636363,5.0,40.90909090909091,0.0,1172.0,2254.0,4576.0,9992.0,21400.0,,,100.0,,,14.292307692307691,,,5.38,32.16,,,,0.00017,,0.02574,,,4e-05,,5e-05,,,,,870.7,867.2,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,-15.0,,,,,30.0,,,,,
Базовое_масло_2,0204.22,,,,68.4,,1.0,,38.0,30.0,42.0,0.0,1224.0,2308.0,4797.0,10565.0,21400.0,,,96.0,,,12.8,,,5.4,33.0,,,,0.00089,,0.02478,,,0.00054,,0.00014,,,,,870.7,867.2,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,30.0,,,,,
Базовое_масло_2,02360.23,,,,68.4,,1.0,,40.0,5.0,40.0,0.0,1169.0,2205.0,4520.0,9777.0,21400.0,,,98.0,,,14.0,,,5.36,32.22,,,,2.1e-05,,0.032,,,3e-05,,4e-05,,,,,870.7,867.2,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,-16.0,,,,,30.0,,,,,
Базовое_масло_2,02425.24,,,,68.4,,1.0,,38.63636363636363,5.0,40.90909090909091,0.0,1194.5714285714287,2241.6666666666665,4638.0,10238.0,21400.0,,,95.0,,,14.292307692307691,,,5.35,32.57,,,,0.00017,,0.02574,,,4e-05,,5e-05,,,,,870.7,867.2,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,-15.733333333333333,,,,,30.0,,,,,
Базовое_масло_2,02596.22,,,,68.4,,1.0,,38.0,5.0,42.0,0.0,1220.0,2250.0,4642.0,10272.0,21000.0,,,96.0,,,14.0,,,5.37,32.61,,,,3e-05,,0.028,,,5e-05,,1e-05,,,,,870.7,867.2,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,-18.0,,,,,30.0,,,,,
Базовое_масло_2,03275.23,,,,68.4,,1.0,,39.0,2.0,41.0,0.0,1225.0,2273.0,4718.0,10407.0,21400.0,,,97.0,,,12.5,,,5.42,32.97,,,,0.0002,,0.099,,,0.0001,,0.0001,,,,,870.7,867.2,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,-18.0,,,,,30.0,,,,,
Базовое_масло_2,0407.24,,,,68.4,,1.0,,39.0,5.0,41.0,0.0,1206.0,2249.0,4651.0,10139.0,21400.0,,,98.0,,,13.7,,,5.38,32.45,,,,0.0003,,0.0267,,,4e-05,,5e-05,,,,,870.7,867.2,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,-18.0,,,,,30.0,,,,,
Базовое_масло_2,071.23,,,,68.4,,1.0,,40.0,5.0,40.0,0.0,1133.0,2137.0,4429.0,9680.0,21400.0,,,99.0,,,14.0,,,5.36,32.12,,,,0.0004,,0.017,,,0.0006,,0.0001,,,,,870.7,867.2,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,-17.0,,,,,30.0,,,,,
Базовое_масло_2,0769.22,,,,68.4,,1.0,,38.0,10.0,42.0,0.0,1237.0,2273.0,4785.0,10513.0,21200.0,,,96.0,,,15.5,,,5.335,32.39,,,,0.00014,,0.0247,,,3e-05,,3e-05,,,,,870.7,867.2,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,-17.0,,,,,30.0,,,,,
Базовое_масло_2,0858.25,,,,68.4,,1.0,,38.63636363636363,5.0,40.90909090909091,0.0,1194.5714285714287,2241.6666666666665,4638.0,10238.0,21400.0,,,101.0,,,14.292307692307691,,,5.393,32.12,,,,0.00017,,0.02574,,,4e-05,,5e-05,,,,,870.7,867.2,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,-15.733333333333333,,,,,30.0,,,,,
Базовое_масло_2,094.25,,,,68.4,,1.0,,38.63636363636363,5.0,40.90909090909091,0.0,1194.5714285714287,2217.0,4629.0,10028.0,21400.0,,,97.23529411764706,,,14.292307692307691,,,5.35,32.19,,,,0.00017,,0.02574,,,4e-05,,5e-05,,,,,870.7,867.2,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,-15.733333333333333,,,,,30.0,,,,,
Базовое_масло_2,typical,,,,68.4,,1.0,,38.63636363636363,5.0,40.90909090909091,0.0,1194.5714285714287,2241.6666666666665,4638.0,10238.0,21400.0,,,98.0,,,15.0,,,5.363411764705881,32.41235294117647,,,,0.00017,,0.02574,,,4e-05,,5e-05,,,,,870.7,867.2,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,-15.0,,,,,30.0,,,,,
Базовое_масло_3,01278.24,,,,68.4,,3.0,,40.0,5.625,40.0,0.0,372.1818181818182,585.5,963.0,1708.0,2996.8571428571427,,,126.42857142857143,,,13.463636363636363,,,4.5,20.933571428571433,,,,0.0002,,0.000475,,,0.0001,,8.5e-05,,,,,843.5,840.25,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,-20.666666666666668,,,,,30.0,,,,,
Базовое_масло_3,01487.23,,,,68.4,,3.0,,40.0,10.0,40.0,0.0,388.0,591.0,966.0,1647.0,2993.0,,,124.0,,,9.1,,,4.46,21.19,,,,0.0003,,0.001,,,0.0002,,0.0002,,,,,843.5,840.25,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,-25.0,,,,,30.0,,,,,
Базовое_масло_3,01508.24,,,,68.4,,3.0,,40.0,5.625,40.0,0.0,386.0,642.0,1046.0,1765.0,3204.0,,,126.0,,,13.463636363636363,,,4.49,21.2,,,,0.0002,,0.000475,,,0.0001,,8.5e-05,,,,,843.5,840.25,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,-20.0,,,,,30.0,,,,,
Базовое_масло_3,01600.22,,,,68.4,,3.0,,40.0,5.625,40.0,0.0,311.0,581.0,999.0,1737.0,3224.0,,,130.0,,,13.1,,,4.611,21.84,,,,0.00021,,0.00025,,,3e-05,,5e-05,,,,,843.5,840.25,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,-18.0,,,,,30.0,,,,,
Базовое_масло_3,01939.22,,,,68.4,,3.0,,40.0,5.0,40.0,0.0,317.0,497.0,876.0,1515.0,3030.0,,,127.0,,,13.2,,,4.33,19.91,,,,0.0002,,0.0011,,,0.0001,,0.0002,,,,,843.5,840.25,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,-18.0,,,,,30.0,,,,,
Базовое_масло_3,02110.23,,,,68.4,,3.0,,40.0,5.0,40.0,0.0,419.0,641.0,1019.0,1717.0,3121.0,,,120.0,,,13.7,,,4.42,21.2,,,,0.0002,,0.000475,,,0.0001,,8.5e-05,,,,,843.5,840.25,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,-24.0,,,,,30.0,,,,,
Базовое_масло_3,02502.24,,,,68.4,,3.0,,40.0,5.625,40.0,0.0,372.1818181818182,585.5,963.0,1544.0,2800.0,,,126.42857142857143,,,13.463636363636363,,,4.321,20.933571428571433,,,,0.0002,,0.000475,,,0.0001,,8.5e-05,,,,,843.5,840.25,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,-19.0,,,,,30.0,,,,,
Базовое_масло_3,02598.22,,,,68.4,,3.0,,40.0,5.0,40.0,0.0,357.0,561.0,966.0,1671.0,3064.0,,,129.0,,,14.0,,,4.57,21.55,,,,3e-05,,2e-05,,,7e-05,,5e-05,,,,,843.5,840.25,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,-21.0,,,,,30.0,,,,,
Базовое_масло_3,02868.23 200л,,,,68.4,,3.0,,40.0,5.625,40.0,0.0,372.1818181818182,585.5,938.0,1586.0,2875.0,,,127.0,,,13.463636363636363,,,4.47,20.96,,,,0.0002,,0.000475,,,0.0001,,8.5e-05,,,,,843.5,840.25,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,-21.0,,,,,30.0,,,,,
Базовое_масло_3,03003.23,,,,68.4,,3.0,,40.0,5.0,40.0,0.0,403.0,625.0,1001.0,1694.0,3075.0,,,125.0,,,13.7,,,4.47,21.0,,,,0.0002,,0.0001,,,0.0001,,0.0001,,,,,843.5,840.25,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,-25.0,,,,,30.0,,,,,
Базовое_масло_3,03601.23,,,,68.4,,3.0,,40.0,5.625,40.0,0.0,410.0,620.0,984.0,1668.0,3021.0,,,127.0,,,13.463636363636363,,,4.5,21.25,,,,0.0002,,0.000475,,,0.0001,,8.5e-05,,,,,843.5,840.25,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,-21.0,,,,,30.0,,,,,
Базовое_масло_3,0415.22,,,,68.4,,3.0,,40.0,5.0,40.0,0.0,357.0,581.0,928.0,1574.0,2866.0,,,132.0,,,12.9,,,4.501,20.84,,,,0.00015,,0.00105,,,0.00019,,1e-05,,,,,843.5,840.25,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,-14.0,,,,,30.0,,,,,
Базовое_масло_3,0444.23,,,,68.4,,3.0,,40.0,5.0,40.0,0.0,372.1818181818182,542.0,930.0,1584.0,2869.0,,,127.0,,,14.2,,,4.42,20.6,,,,0.0002,,0.000475,,,0.0001,,8.5e-05,,,,,843.5,840.25,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,-19.0,,,,,30.0,,,,,
Базовое_масло_3,0754/23,,,,68.4,,3.0,,40.0,5.0,40.0,0.0,335.0,519.0,862.0,1466.0,2743.0,,,127.0,,,14.2,,,4.34,20.02,,,,0.0012,,0.0002,,,0.0002,,0.0002,,,,,843.5,840.25,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,-19.0,,,,,30.0,,,,,
Базовое_масло_3,0886.24,,,,68.4,,3.0,,40.0,5.625,40.0,0.0,411.0,626.0,1004.0,1695.0,3071.0,,,126.0,,,15.0,,,4.48,21.19,,,,0.0001,,0.0007,,,2e-05,,7e-05,,,,,843.5,840.25,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,-21.0,,,,,30.0,,,,,
Базовое_масло_3,typical,,,,68.4,,3.0,,40.0,5.625,40.0,0.0,372.1818181818182,585.5,963.0,1638.0666666666666,2996.8571428571427,,,123.0,,,15.0,,,4.34,20.32,,,,0.0002,,0.000475,,,0.0001,,8.5e-05,,,,,843.5,840.25,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,-25.0,,,,,30.0,,,,,
Базовое_масло_4,01209.25 для SL,,,,68.4,,2.0,,40.0,5.0,39.833333333333336,0.0,,,1311.8,12688.0,,,,115.0,,,4.0,,,8.42,54.13,,,,0.0002,,0.0004,,,0.0001,,0.0001,,,,,843.5,840.25,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,-23.0,,,,,30.0,,,,,
Базовое_масло_4,typical,,,,68.4,,2.0,,40.0,5.0,39.833333333333336,0.0,,,1311.8,12688.0,,,,115.0,,,4.0,,,8.42,54.13,,,,0.0002,,0.0004,,,0.0001,,0.0001,,,,,843.5,840.25,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,-23.0,,,,,30.0,,,,,
Базовое_масло_5,01056.25,,,,68.4,,2.0,,39.0,5.0,41.0,0.0,2226.5714285714284,3534.0,6400.0,12688.0,25376.0,,,118.27272727272727,,,3.18,,,8.09,54.13,,,,0.00020250000000000002,,0.00054,,,0.000115,,0.0001,,,,,843.5,840.25,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,30.0,,,,,
Базовое_масло_5,01085.25,,,,68.4,,2.0,,39.0,5.0,41.0,0.0,2226.5714285714284,3743.090909090909,7075.916666666667,13859.916666666666,25376.0,,,118.27272727272727,,,3.18,,,8.62,55.99875,,,,0.00020250000000000002,,0.00054,,,0.000115,,0.0001,,,,,843.5,840.25,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,30.0,,,,,
Базовое_масло_5,01624.25,,,,68.4,,2.0,,39.0,5.0,41.0,0.0,2226.5714285714284,3207.0,5855.0,11386.0,25376.0,,,120.0,,,3.18,,,7.72,50.14,,,,0.00020250000000000002,,0.00054,,,0.000115,,0.0001,,,,,843.5,840.25,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,-15.0,,,,,30.0,,,,,
Базовое_масло_5,01942.23,,,,68.4,,2.0,,39.0,5.0,41.0,0.0,2322.0,4054.0,7450.0,14903.0,25376.0,,,117.0,,,2.8,,,8.49,58.73,,,,0.0002,,0.0041,,,0.0039,,0.0001,,,,,843.5,840.25,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,-20.0,,,,,30.0,,,,,
Базовое_масло_5,01992.25,,,,68.4,,2.0,,39.0,5.0,41.0,0.0,2256.0,3907.0,7178.0,14088.0,25376.0,,,118.0,,,3.18,,,8.34,56.87,,,,0.00020250000000000002,,0.00054,,,0.000115,,0.0001,,,,,843.5,840.25,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,-17.0,,,,,30.0,,,,,
Базовое_масло_5,02229.25,,,,68.4,,2.0,,39.0,5.0,41.0,0.0,2226.5714285714284,3743.090909090909,7075.916666666667,13859.916666666666,25376.0,,,118.27272727272727,,,3.18,,,8.25,55.51,,,,0.00020250000000000002,,0.00054,,,0.000115,,0.0001,,,,,843.5,840.25,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,-15.461538461538462,,,,,30.0,,,,,
Базовое_масло_5,02510.25,,,,68.4,,2.0,,39.0,5.0,41.0,0.0,1816.0,3063.0,5503.0,10694.0,25376.0,,,118.27272727272727,,,3.18,,,8.716,59.86,,,,0.00020250000000000002,,0.00054,,,0.000115,,0.0001,,,,,843.5,840.25,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,-15.461538461538462,,,,,30.0,,,,,
Базовое_масло_5,02724.23,,,,68.4,,2.0,,39.0,5.0,41.0,0.0,2192.0,3849.0,7087.0,14001.0,25376.0,,,117.0,,,2.8,,,8.3,56.73,,,,0.0002,,0.0007,,,3e-05,,0.0001,,,,,843.5,840.25,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,-19.0,,,,,30.0,,,,,
Базовое_масло_5,02896.24,,,,68.4,,2.0,,39.0,5.0,41.0,0.0,2226.5714285714284,3743.090909090909,7741.0,14916.0,25376.0,,,114.0,,,3.18,,,8.53,59.97,,,,0.00020250000000000002,,0.00054,,,0.000115,,0.0001,,,,,843.5,840.25,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,-15.461538461538462,,,,,30.0,,,,,
Базовое_масло_5,0312.25,,,,68.4,,2.0,,39.0,5.0,41.0,0.0,2226.5714285714284,3821.0,6926.0,13682.0,25376.0,,,119.0,,,3.18,,,8.276,55.69,,,,0.00020250000000000002,,0.00054,,,0.000115,,0.0001,,,,,843.5,840.25,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,-18.0,,,,,30.0,,,,,
Базовое_масло_5,03159.24,,,,68.4,,2.0,,39.0,5.0,41.0,0.0,2226.5714285714284,3500.0,7036.0,14173.0,25376.0,,,118.27272727272727,,,3.18,,,8.303,56.57,,,,0.00020250000000000002,,0.00054,,,0.000115,,0.0001,,,,,843.5,840.25,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,-15.461538461538462,,,,,30.0,,,,,
Базовое_масло_5,03602.23,,,,68.4,,2.0,,39.0,5.0,41.0,0.0,2467.0,4307.0,9021.0,17000.0,25376.0,,,115.0,,,3.18,,,8.57,60.05,,,,0.00020250000000000002,,0.00054,,,0.000115,,0.0001,,,,,843.5,840.25,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,-18.0,,,,,30.0,,,,,
Базовое_масло_5,0752.23,,,,68.4,,2.0,,39.0,5.0,41.0,0.0,2189.0,3849.0,7200.0,14123.0,25376.0,,,117.0,,,3.2,,,8.22,56.03,,,,0.0002,,0.0002,,,0.0002,,0.0002,,,,,843.5,840.25,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,-14.0,,,,,30.0,,,,,
Базовое_масло_5,0767.24,,,,68.4,,2.0,,39.0,5.0,41.0,0.0,2344.0,4083.0,7514.0,14665.0,25376.0,,,116.0,,,3.1,,,8.35,57.8,,,,0.00021,,0.00038,,,2e-05,,2e-05,,,,,843.5,840.25,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,-22.0,,,,,30.0,,,,,
Базовое_масло_5,0962.25,,,,68.4,,2.0,,39.0,5.0,41.0,0.0,2226.5714285714284,3743.090909090909,7075.916666666667,13859.916666666666,25376.0,,,120.0,,,3.18,,,8.06,53.5,,,,0.00020250000000000002,,0.00054,,,0.000115,,0.0001,,,,,843.5,840.25,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,-11.0,,,,,30.0,,,,,
Базовое_масло_5,0973/25,,,,68.4,,2.0,,39.0,5.0,41.0,0.0,2226.5714285714284,3743.090909090909,7075.916666666667,13859.916666666666,25376.0,,,118.27272727272727,,,3.18,,,8.023,51.43,,,,0.00020250000000000002,,0.00054,,,0.000115,,0.0001,,,,,843.5,840.25,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,-28.0,,,,,30.0,,,,,
Базовое_масло_5,typical,,,,68.4,,2.0,,39.0,5.0,41.0,0.0,2226.5714285714284,3743.090909090909,7075.916666666667,13859.916666666666,25376.0,,,128.0,,,4.0,,,8.303625,52.97,,,,0.00020250000000000002,,0.00054,,,0.000115,,0.0001,,,,,843.5,840.25,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,-19.0,,,,,30.0,,,,,
Базовое_масло_6,01302.25,,,,68.4,,3.0,,40.0,5.0,39.833333333333336,0.0,508.54545454545456,640.0,1000.0,1682.0,3017.0,,,126.0,,,15.0,,,4.446,20.92,,,,0.0002,,0.00054,,,0.0001,,0.0001,,,,,835.5,832.2,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,-20.0,,,,,30.0,,,,,
Базовое_масло_6,03164.24,,,,68.4,,3.0,,40.0,5.0,39.833333333333336,0.0,508.54545454545456,614.5,982.0,1667.0,2990.0,,,125.33333333333333,,,15.0,,,4.223,20.24666666666667,,,,0.0002,,0.00054,,,0.0001,,0.0001,,,,,835.5,832.2,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,-20.0,,,,,30.0,,,,,
Базовое_масло_6,0861.25,,,,68.4,,3.0,,40.0,5.0,39.833333333333336,0.0,508.54545454545456,614.5,982.0,1627.0,2990.0,,,125.33333333333333,,,15.0,,,4.32,20.24666666666667,,,,0.0002,,0.00054,,,0.0001,,0.0001,,,,,835.5,832.2,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,-20.0,,,,,30.0,,,,,
Базовое_масло_6,093.25,,,,68.4,,3.0,,40.0,5.0,39.833333333333336,0.0,508.54545454545456,589.0,964.0,1627.0,2963.0,,,122.0,,,15.0,,,4.3,20.09,,,,0.0002,,0.00054,,,0.0001,,0.0001,,,,,835.5,832.2,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,-20.0,,,,,30.0,,,,,
Базовое_масло_6,typical,,,,68.4,,3.0,,40.0,5.0,39.833333333333336,0.0,508.54545454545456,614.5,982.0,1667.0,2990.0,,,128.0,,,15.0,,,4.3478,19.73,,,,0.0002,,0.00054,,,0.0001,,0.0001,,,,,835.5,832.2,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,-20.0,,,,,30.0,,,,,
Базовое_масло_6,для С3 01342.25,,,,68.4,,3.0,,40.0,5.0,39.833333333333336,0.0,508.54545454545456,614.5,982.0,1732.0,2990.0,,,125.33333333333333,,,15.0,,,4.45,20.24666666666667,,,,0.0002,,0.00054,,,0.0001,,0.0001,,,,,835.5,832.2,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,-20.0,,,,,30.0,,,,,
Базовое_масло_7,01045.23,,,,68.4,,1.0,,40.0,5.0,40.0,0.0,5413.0,11573.0,24677.30769230769,53520.71428571428,99200.0,,,93.0,,,5.4,,,9.214,77.6,,,,0.00041,,0.094,,,0.00063,,3e-05,,,,,878.2,874.7,10.0,0.0,0.0,,,,,,,,,,,,,,,,,,-16.0,,,,,30.0,,,,,
Базовое_масло_7,01301.22,,,,68.4,,1.0,,37.0,10.0,43.0,0.0,6028.0,12491.0,25600.0,53520.71428571428,99200.0,,,89.0,,,6.4,,,9.26,80.34,,,,3.8e-05,,0.0991,,,3e-05,,2e-05,,,,,878.2,874.7,70.0,0.0,20.0,,,,,,,,,,,,,,,,,,-19.0,,,,,30.0,,,,,
Базовое_масло_7,01408.25,,,,68.4,,1.0,,38.44444444444444,10.0,41.55555555555556,0.0,5740.0,12398.0,24800.0,49600.0,99200.0,,,92.0,,,6.12,,,9.298,78.85,,,,0.000125,,0.08157666666666666,,,9e-05,,4.5e-05,,,,,878.2,874.7,10.0,0.0,0.0,,,,,,,,,,,,,,,,,,-17.142857142857142,,,,,30.0,,,,,
Базовое_масло_7,01511.24,,,,68.4,,1.0,,38.44444444444444,10.0,41.55555555555556,0.0,5632.0,11264.0,24000.0,53520.71428571428,99200.0,,,91.0,,,6.12,,,9.14,77.38,,,,0.000125,,0.08157666666666666,,,9e-05,,4.5e-05,,,,,878.2,874.7,10.0,0.0,0.0,,,,,,,,,,,,,,,,,,-15.0,,,,,30.0,,,,,
Базовое_масло_7,01768.22,,,,68.4,,1.0,,38.44444444444444,10.0,41.55555555555556,0.0,5667.0,12160.0,25000.0,50000.0,99200.0,,,90.0,,,6.5,,,9.146,78.02,,,,0.00015,,0.07599,,,4e-05,,2.4e-05,,,,,878.2,874.7,20.0,0.0,0.0,,,,,,,,,,,,,,,,,,-19.0,,,,,30.0,,,,,
Базовое_масло_7,0186.21,,,,68.4,,1.0,,39.0,40.0,41.0,0.0,6022.0,12857.0,25800.0,53520.71428571428,99200.0,,,89.0,,,5.4,,,9.34,81.15,,,,0.000125,,0.08157666666666666,,,9e-05,,4.5e-05,,,,,878.2,874.7,10.0,0.0,0.0,,,,,,,,,,,,,,,,,,-17.142857142857142,,,,,30.0,,,,,
Базовое_масло_7,02595.22,,,,68.4,,1.0,,39.0,5.0,41.0,5.0,5596.0,11861.0,24000.0,53520.71428571428,99200.0,,,92.0,,,6.12,,,9.25,78.65,,,,3e-05,,0.046,,,8e-05,,5e-05,,,,,878.2,874.7,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,-18.0,,,,,30.0,,,,,
Базовое_масло_7,02787.24,,,,68.4,,1.0,,38.44444444444444,10.0,41.55555555555556,0.0,6016.0,13575.0,24677.30769230769,53520.71428571428,99200.0,,,91.0,,,6.12,,,9.316,79.97,,,,0.000125,,0.08157666666666666,,,9e-05,,4.5e-05,,,,,878.2,874.7,10.0,0.0,0.0,,,,,,,,,,,,,,,,,,-15.0,,,,,30.0,,,,,
Базовое_масло_7,03276.23,,,,68.4,,1.0,,39.0,5.0,41.0,0.0,5521.0,11811.0,24000.0,53520.71428571428,99200.0,,,92.0,,,5.8,,,9.1,76.89,,,,0.0002,,0.099,,,0.0001,,0.0001,,,,,878.2,874.7,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,-16.0,,,,,30.0,,,,,
Базовое_масло_7,03527.22,,,,68.4,,1.0,,38.0,10.0,42.0,0.0,5597.0,11915.0,28157.0,60000.0,99200.0,,,91.0,,,5.5,,,9.22,78.57,,,,0.0001,,0.0788,,,0.0001,,0.0001,,,,,878.2,874.7,10.0,0.0,0.0,,,,,,,,,,,,,,,,,,-19.0,,,,,30.0,,,,,
Базовое_масло_7,0566.25,,,,68.4,,1.0,,38.44444444444444,10.0,41.55555555555556,0.0,5711.466666666666,12103.0,24200.0,48400.0,99200.0,,,92.0,,,6.12,,,9.15,77.39,,,,0.000125,,0.08157666666666666,,,9e-05,,4.5e-05,,,,,878.2,874.7,10.0,0.0,0.0,,,,,,,,,,,,,,,,,,-15.0,,,,,30.0,,,,,
Базовое_масло_7,0575.23,,,,68.4,,1.0,,38.0,10.0,42.0,0.0,5273.0,11062.0,26044.0,67645.0,99200.0,,,92.0,,,6.1,,,9.16,77.46,,,,0.0002,,0.0686,,,0.0002,,0.0002,,,,,878.2,874.7,20.0,0.0,0.0,,,,,,,,,,,,,,,,,,-19.0,,,,,30.0,,,,,
Базовое_масло_7,0763.24,,,,68.4,,1.0,,38.44444444444444,10.0,41.55555555555556,0.0,5585.0,12049.0,24000.0,48000.0,99200.0,,,94.0,,,6.12,,,9.2,76.92,,,,0.0005,,0.08157666666666666,,,0.0001,,0.0001,,,,,878.2,874.7,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,-15.0,,,,,30.0,,,,,
